Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Sauerkraut_var2,1 cup,150,32,1,t,0,1.2,7,Vegetables A-E
Steamed cabbage_var2,1 cup,170,40,2,t,0,1.3,9,Vegetables A-E
Carrots_var2,1 cup,150,45,1,t,0,0.9,10,Vegetables A-E
"Raw, grated_var2",1 cup,110,45,1,t,0,1.2,10,Vegetables A-E
"Strips, from raw_var2",1 mad.,50,20,t,t,0,0.5,5,Vegetables A-E
Cauliflower_var2,1 cup,120,30,3,t,0,1,6,Vegetables A-E
Celery_var2,1 cup,100,20,1,t,0,1,4,Vegetables A-E
Stalk raw_var2,1 large,40,5,1,t,0,0.3,1,Vegetables A-E
Chard steamed_var2,1 cup,150,30,2,t,0,1.4,7,Vegetables A-E
Collards_var2,1 cup,150,51,5,t,0,2,8,Vegetables A-E
Corn_var2,1 ear,100,92,3,1,t,0.8,21,Vegetables A-E
cooked or canned_var2,1 cup,200,170,5,t,0,1.6,41,Vegetables A-E
Cucumbers_var2,8,50,6,t,0,0,0.2,1,Vegetables A-E
Dandelion greens_var2,1 cup,180,80,5,1,0,3.2,16,Vegetables A-E
Eggplant_var2,1 cup,180,30,2,t,0,1,9,Vegetables A-E
Endive_var2,2 oz.,57,10,1,t,0,0.6,2,Vegetables A-E
Kale_var2,1 cup,110,45,4,1,0,0.9,8,Vegetables F-P
Kohlrabi_var2,1 cup,140,40,2,t,0,1.5,9,Vegetables F-P
"Lambs quarters, steamed_var2",1 cup,150,48,5,t,0,3.2,7,Vegetables F-P
Lentils_var2,1 cup,200,212,15,t,0,2.4,38,Vegetables F-P
Lettuce_var2,1/4 head,100,14,1,t,0,0.5,2,Vegetables F-P
Iceberg_var2,1/4 head,100,13,t,t,0,0.5,3,Vegetables F-P
Mushrooms canned_var2,4,120,12,2,t,0,t,4,Vegetables F-P
Mustard greens_var2,1,140,30,3,t,0,1.2,6,Vegetables F-P
Okra_var2,1 1/3 cups,100,32,1,t,0,1,7,Vegetables F-P
Onions_var2,1,210,80,2,t,0,1.6,18,Vegetables F-P
"Raw, green_var2",6 small,50,22,t,t,0,1,5,Vegetables F-P
